date,component,demand_units,day_of_week,month,is_weekend,is_holiday_season
2021-01-01,Cryoprecipitate,16,4,1,0,0
2021-01-01,Fresh Frozen Plasma,34,4,1,0,0
2021-01-01,Packed RBC,120,4,1,0,0
2021-01-01,Platelets,33,4,1,0,0
2021-01-02,Cryoprecipitate,10,5,1,1,0
2021-01-02,Fresh Frozen Plasma,32,5,1,1,0
2021-01-02,Packed RBC,73,5,1,1,0
2021-01-02,Platelets,33,5,1,1,0
2021-01-03,Cryoprecipitate,13,6,1,1,0
2021-01-03,Fresh Frozen Plasma,21,6,1,1,0
2021-01-03,Packed RBC,72,6,1,1,0
2021-01-03,Platelets,29,6,1,1,0
2021-01-04,Cryoprecipitate,15,0,1,0,0
2021-01-04,Fresh Frozen Plasma,36,0,1,0,0
2021-01-04,Packed RBC,127,0,1,0,0
2021-01-04,Platelets,95,0,1,0,0
2021-01-05,Cryoprecipitate,13,1,1,0,0
2021-01-05,Fresh Frozen Plasma,31,1,1,0,0
2021-01-05,Packed RBC,128,1,1,0,0
2021-01-05,Platelets,42,1,1,0,0
2021-01-06,Cryoprecipitate,19,2,1,0,0
2021-01-06,Fresh Frozen Plasma,26,2,1,0,0
2021-01-06,Packed RBC,105,2,1,0,0
2021-01-06,Platelets,55,2,1,0,0
2021-01-07,Cryoprecipitate,12,3,1,0,0
2021-01-07,Fresh Frozen Plasma,27,3,1,0,0
2021-01-07,Packed RBC,81,3,1,0,0
2021-01-07,Platelets,37,3,1,0,0
2021-01-08,Cryoprecipitate,13,4,1,0,0
2021-01-08,Fresh Frozen Plasma,21,4,1,0,0
2021-01-08,Packed RBC,83,4,1,0,0
2021-01-08,Platelets,40,4,1,0,0
2021-01-09,Cryoprecipitate,11,5,1,1,0
2021-01-09,Fresh Frozen Plasma,23,5,1,1,0
2021-01-09,Packed RBC,71,5,1,1,0
2021-01-09,Platelets,25,5,1,1,0
2021-01-10,Cryoprecipitate,11,6,1,1,0
2021-01-10,Fresh Frozen Plasma,17,6,1,1,0
2021-01-10,Packed RBC,68,6,1,1,0
2021-01-10,Platelets,20,6,1,1,0
2021-01-11,Cryoprecipitate,9,0,1,0,0
2021-01-11,Fresh Frozen Plasma,34,0,1,0,0
2021-01-11,Packed RBC,109,0,1,0,0
2021-01-11,Platelets,29,0,1,0,0
2021-01-12,Cryoprecipitate,14,1,1,0,0
2021-01-12,Fresh Frozen Plasma,25,1,1,0,0
2021-01-12,Packed RBC,81,1,1,0,0
2021-01-12,Platelets,29,1,1,0,0
2021-01-13,Cryoprecipitate,13,2,1,0,0
2021-01-13,Fresh Frozen Plasma,31,2,1,0,0
2021-01-13,Packed RBC,73,2,1,0,0
2021-01-13,Platelets,40,2,1,0,0
2021-01-14,Cryoprecipitate,12,3,1,0,0
2021-01-14,Fresh Frozen Plasma,29,3,1,0,0
2021-01-14,Packed RBC,115,3,1,0,0
2021-01-14,Platelets,30,3,1,0,0
2021-01-15,Cryoprecipitate,14,4,1,0,0
2021-01-15,Fresh Frozen Plasma,27,4,1,0,0
2021-01-15,Packed RBC,57,4,1,0,0
2021-01-15,Platelets,42,4,1,0,0
2021-01-16,Cryoprecipitate,12,5,1,1,0
2021-01-16,Fresh Frozen Plasma,21,5,1,1,0
2021-01-16,Packed RBC,72,5,1,1,0
2021-01-16,Platelets,28,5,1,1,0
