date,component,blood_type,demand_units,day_of_week,month,is_weekend,is_holiday_season
2021-01-01,Packed RBC,O+,45,4,1,0,0
2021-01-01,Packed RBC,A+,33,4,1,0,0
2021-01-01,Packed RBC,B+,24,4,1,0,0
2021-01-01,Packed RBC,AB+,6,4,1,0,0
2021-01-01,Packed RBC,O-,8,4,1,0,0
2021-01-01,Packed RBC,A-,2,4,1,0,0
2021-01-01,Packed RBC,B-,1,4,1,0,0
2021-01-01,Packed RBC,AB-,1,4,1,0,0
2021-01-01,Platelets,O+,11,4,1,0,0
2021-01-01,Platelets,A+,9,4,1,0,0
2021-01-01,Platelets,B+,6,4,1,0,0
2021-01-01,Platelets,AB+,2,4,1,0,0
2021-01-01,Platelets,O-,1,4,1,0,0
2021-01-01,Platelets,A-,1,4,1,0,0
2021-01-01,Platelets,B-,2,4,1,0,0
2021-01-01,Platelets,AB-,1,4,1,0,0
2021-01-01,Fresh Frozen Plasma,O+,11,4,1,0,0
2021-01-01,Fresh Frozen Plasma,A+,10,4,1,0,0
2021-01-01,Fresh Frozen Plasma,B+,6,4,1,0,0
2021-01-01,Fresh Frozen Plasma,AB+,1,4,1,0,0
2021-01-01,Fresh Frozen Plasma,O-,3,4,1,0,0
2021-01-01,Fresh Frozen Plasma,A-,1,4,1,0,0
2021-01-01,Fresh Frozen Plasma,B-,1,4,1,0,0
2021-01-01,Fresh Frozen Plasma,AB-,1,4,1,0,0
2021-01-01,Cryoprecipitate,O+,6,4,1,0,0
2021-01-01,Cryoprecipitate,A+,2,4,1,0,0
2021-01-01,Cryoprecipitate,B+,3,4,1,0,0
2021-01-01,Cryoprecipitate,AB+,1,4,1,0,0
2021-01-01,Cryoprecipitate,O-,1,4,1,0,0
2021-01-01,Cryoprecipitate,A-,1,4,1,0,0
2021-01-01,Cryoprecipitate,B-,1,4,1,0,0
2021-01-01,Cryoprecipitate,AB-,1,4,1,0,0
2021-01-02,Packed RBC,O+,28,5,1,1,0
2021-01-02,Packed RBC,A+,22,5,1,1,0
2021-01-02,Packed RBC,B+,15,5,1,1,0
2021-01-02,Packed RBC,AB+,2,5,1,1,0
2021-01-02,Packed RBC,O-,3,5,1,1,0
2021-01-02,Packed RBC,A-,1,5,1,1,0
2021-01-02,Packed RBC,B-,1,5,1,1,0
2021-01-02,Packed RBC,AB-,1,5,1,1,0
2021-01-02,Platelets,O+,11,5,1,1,0
2021-01-02,Platelets,A+,9,5,1,1,0
2021-01-02,Platelets,B+,7,5,1,1,0
2021-01-02,Platelets,AB+,2,5,1,1,0
2021-01-02,Platelets,O-,1,5,1,1,0
2021-01-02,Platelets,A-,1,5,1,1,0
2021-01-02,Platelets,B-,1,5,1,1,0
2021-01-02,Platelets,AB-,1,5,1,1,0
2021-01-02,Fresh Frozen Plasma,O+,11,5,1,1,0
2021-01-02,Fresh Frozen Plasma,A+,6,5,1,1,0
2021-01-02,Fresh Frozen Plasma,B+,5,5,1,1,0
2021-01-02,Fresh Frozen Plasma,AB+,2,5,1,1,0
2021-01-02,Fresh Frozen Plasma,O-,2,5,1,1,0
2021-01-02,Fresh Frozen Plasma,A-,2,5,1,1,0
2021-01-02,Fresh Frozen Plasma,B-,1,5,1,1,0
2021-01-02,Fresh Frozen Plasma,AB-,3,5,1,1,0
2021-01-02,Cryoprecipitate,O+,3,5,1,1,0
2021-01-02,Cryoprecipitate,A+,1,5,1,1,0
2021-01-02,Cryoprecipitate,B+,1,5,1,1,0
2021-01-02,Cryoprecipitate,AB+,1,5,1,1,0
2021-01-02,Cryoprecipitate,O-,1,5,1,1,0
2021-01-02,Cryoprecipitate,A-,1,5,1,1,0
2021-01-02,Cryoprecipitate,B-,1,5,1,1,0
2021-01-02,Cryoprecipitate,AB-,1,5,1,1,0
2021-01-03,Packed RBC,O+,25,6,1,1,0
2021-01-03,Packed RBC,A+,20,6,1,1,0
2021-01-03,Packed RBC,B+,15,6,1,1,0
2021-01-03,Packed RBC,AB+,3,6,1,1,0
2021-01-03,Packed RBC,O-,4,6,1,1,0
2021-01-03,Packed RBC,A-,3,6,1,1,0
2021-01-03,Packed RBC,B-,1,6,1,1,0
2021-01-03,Packed RBC,AB-,1,6,1,1,0
2021-01-03,Platelets,O+,11,6,1,1,0
2021-01-03,Platelets,A+,7,6,1,1,0
2021-01-03,Platelets,B+,6,6,1,1,0
2021-01-03,Platelets,AB+,1,6,1,1,0
2021-01-03,Platelets,O-,1,6,1,1,0
2021-01-03,Platelets,A-,1,6,1,1,0
2021-01-03,Platelets,B-,1,6,1,1,0
2021-01-03,Platelets,AB-,1,6,1,1,0
2021-01-03,Fresh Frozen Plasma,O+,7,6,1,1,0
2021-01-03,Fresh Frozen Plasma,A+,6,6,1,1,0
2021-01-03,Fresh Frozen Plasma,B+,2,6,1,1,0
2021-01-03,Fresh Frozen Plasma,AB+,1,6,1,1,0
2021-01-03,Fresh Frozen Plasma,O-,2,6,1,1,0
2021-01-03,Fresh Frozen Plasma,A-,1,6,1,1,0
2021-01-03,Fresh Frozen Plasma,B-,1,6,1,1,0
2021-01-03,Fresh Frozen Plasma,AB-,1,6,1,1,0
2021-01-03,Cryoprecipitate,O+,3,6,1,1,0
2021-01-03,Cryoprecipitate,A+,4,6,1,1,0
2021-01-03,Cryoprecipitate,B+,1,6,1,1,0
2021-01-03,Cryoprecipitate,AB+,1,6,1,1,0
2021-01-03,Cryoprecipitate,O-,1,6,1,1,0
2021-01-03,Cryoprecipitate,A-,1,6,1,1,0
2021-01-03,Cryoprecipitate,B-,1,6,1,1,0
2021-01-03,Cryoprecipitate,AB-,1,6,1,1,0
2021-01-04,Packed RBC,O+,46,0,1,0,0
