donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter,Cluster,Segment
D00001,12,6,2700,24,0,1,At Risk
D00002,1,3,1350,9,1,3,New Donors
D00003,4,4,1800,12,0,0,New Donors
D00004,2,1,450,2,1,3,New Donors
D00005,1,2,900,8,1,3,New Donors
D00006,9,18,8100,120,0,2,Loyal
D00007,9,5,2250,25,0,0,New Donors
D00008,0,1,450,0,1,3,New Donors
D00009,0,1,450,0,1,3,New Donors
D00010,2,1,450,2,1,3,New Donors
D00011,5,1,450,5,0,0,New Donors
D00012,9,3,1350,9,0,0,New Donors
D00013,5,1,450,5,0,0,New Donors
D00014,4,2,900,8,0,0,New Donors
D00015,1,2,900,12,1,3,New Donors
D00016,6,2,900,6,0,0,New Donors
D00017,4,1,450,4,0,0,New Donors
D00018,5,2,900,6,0,0,New Donors
D00019,7,3,1350,18,0,0,New Donors
D00020,1,5,2250,25,1,3,New Donors
D00021,5,2,900,6,0,0,New Donors
D00022,5,1,450,5,0,0,New Donors
D00023,3,14,6300,98,1,2,Loyal
D00024,6,5,2250,35,0,0,New Donors
D00025,3,3,1350,18,1,3,New Donors
D00026,0,2,900,14,1,3,New Donors
D00027,3,9,4050,27,1,2,Loyal
D00028,1,1,450,1,1,3,New Donors
D00029,9,2,900,12,0,0,New Donors
D00030,9,2,900,10,0,0,New Donors
D00031,12,4,1800,28,0,1,At Risk
D00032,2,2,900,8,1,3,New Donors
D00033,8,30,13500,120,0,4,Loyal
D00034,5,21,9450,120,0,2,Loyal
D00035,1,11,4950,77,1,2,Loyal
D00036,8,3,1350,9,0,0,New Donors
D00037,2,1,450,2,1,3,New Donors
D00038,4,2,900,8,0,0,New Donors
D00039,1,4,1800,24,1,3,New Donors
D00040,5,4,1800,20,0,0,New Donors
D00041,1,7,3150,28,1,3,New Donors
D00042,0,3,1350,18,1,3,New Donors
D00043,2,8,3600,32,1,3,New Donors
D00044,3,1,450,3,1,3,New Donors
D00045,2,5,2250,20,1,3,New Donors
D00046,7,4,1800,24,0,0,New Donors
D00047,7,4,1800,28,0,0,New Donors
D00048,2,14,6300,84,1,2,Loyal
D00049,6,3,1350,9,0,0,New Donors
D00050,8,3,1350,21,0,0,New Donors
D00051,1,5,2250,25,1,3,New Donors
D00052,3,1,450,3,1,3,New Donors
D00053,1,1,450,1,1,3,New Donors
D00054,2,8,3600,56,1,3,New Donors
D00055,7,3,1350,9,0,0,New Donors
D00056,4,1,450,4,0,0,New Donors
D00057,1,1,450,1,1,3,New Donors
D00058,9,3,1350,9,0,0,New Donors
D00059,2,14,6300,56,1,2,Loyal
D00060,6,2,900,6,0,0,New Donors
D00061,4,1,450,4,0,0,New Donors
D00062,4,1,450,4,0,0,New Donors
D00063,7,4,1800,28,0,0,New Donors
D00064,16,14,6300,84,0,1,At Risk
D00065,3,1,450,3,1,3,New Donors
D00066,5,1,450,5,0,0,New Donors
D00067,3,1,450,3,1,3,New Donors
D00068,12,4,1800,28,0,1,At Risk
D00069,3,3,1350,9,1,3,New Donors
D00070,0,3,1350,18,1,3,New Donors
D00071,16,10,4500,60,0,1,At Risk
D00072,0,3,1350,21,1,3,New Donors
D00073,12,3,1350,18,0,1,At Risk
D00074,4,1,450,4,0,0,New Donors
D00075,4,2,900,10,0,0,New Donors
D00076,5,2,900,14,0,0,New Donors
D00077,15,8,3600,32,0,1,At Risk
D00078,6,2,900,6,0,0,New Donors
D00079,2,2,900,6,1,3,New Donors
