donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter
D00001,12,6,2700,24,0
D00002,1,3,1350,9,1
D00003,4,4,1800,12,0
D00004,2,1,450,2,1
D00005,1,2,900,8,1
D00006,9,18,8100,120,0
D00007,9,5,2250,25,0
D00008,0,1,450,0,1
D00009,0,1,450,0,1
D00010,2,1,450,2,1
D00011,5,1,450,5,0
D00012,9,3,1350,9,0
D00013,5,1,450,5,0
D00014,4,2,900,8,0
D00015,1,2,900,12,1
D00016,6,2,900,6,0
D00017,4,1,450,4,0
D00018,5,2,900,6,0
D00019,7,3,1350,18,0
D00020,1,5,2250,25,1
D00021,5,2,900,6,0
D00022,5,1,450,5,0
D00023,3,14,6300,98,1
D00024,6,5,2250,35,0
D00025,3,3,1350,18,1
D00026,0,2,900,14,1
D00027,3,9,4050,27,1
D00028,1,1,450,1,1
D00029,9,2,900,12,0
D00030,9,2,900,10,0
D00031,12,4,1800,28,0
D00032,2,2,900,8,1
D00033,8,30,13500,120,0
D00034,5,21,9450,120,0
D00035,1,11,4950,77,1
D00036,8,3,1350,9,0
D00037,2,1,450,2,1
D00038,4,2,900,8,0
D00039,1,4,1800,24,1
D00040,5,4,1800,20,0
D00041,1,7,3150,28,1
D00042,0,3,1350,18,1
D00043,2,8,3600,32,1
D00044,3,1,450,3,1
D00045,2,5,2250,20,1
D00046,7,4,1800,24,0
D00047,7,4,1800,28,0
D00048,2,14,6300,84,1
D00049,6,3,1350,9,0
D00050,8,3,1350,21,0
D00051,1,5,2250,25,1
D00052,3,1,450,3,1
D00053,1,1,450,1,1
D00054,2,8,3600,56,1
D00055,7,3,1350,9,0
D00056,4,1,450,4,0
D00057,1,1,450,1,1
D00058,9,3,1350,9,0
D00059,2,14,6300,56,1
D00060,6,2,900,6,0
D00061,4,1,450,4,0
D00062,4,1,450,4,0
D00063,7,4,1800,28,0
D00064,16,14,6300,84,0
D00065,3,1,450,3,1
D00066,5,1,450,5,0
D00067,3,1,450,3,1
D00068,12,4,1800,28,0
D00069,3,3,1350,9,1
D00070,0,3,1350,18,1
D00071,16,10,4500,60,0
D00072,0,3,1350,21,1
D00073,12,3,1350,18,0
D00074,4,1,450,4,0
D00075,4,2,900,10,0
D00076,5,2,900,14,0
D00077,15,8,3600,32,0
D00078,6,2,900,6,0
D00079,2,2,900,6,1
D00080,10,2,900,10,0
D00081,0,3,1350,12,1
D00082,1,1,450,1,1
D00083,2,1,450,2,1
D00084,0,4,1800,28,1
D00085,2,44,19800,120,1
D00086,2,1,450,2,1
D00087,7,4,1800,28,0
D00088,0,2,900,10,1
D00089,9,3,1350,9,0
D00090,1,9,4050,36,1
D00091,10,2,900,10,0
D00092,0,3,1350,15,1
