date,component,supply_units,demand_units,utilized_units,wasted_units,utilization_rate,wastage_rate
2021-01-01,Cryoprecipitate,17,16,16,1,0.9411764705882353,0.058823529411764705
2021-01-01,Fresh Frozen Plasma,36,34,34,3,0.9444444444444444,0.08333333333333333
2021-01-01,Packed RBC,129,120,120,11,0.9302325581395349,0.08527131782945736
2021-01-01,Platelets,39,33,33,7,0.8461538461538461,0.1794871794871795
2021-01-02,Cryoprecipitate,10,10,10,0,1.0,0.0
2021-01-02,Fresh Frozen Plasma,33,32,32,1,0.9696969696969697,0.030303030303030304
2021-01-02,Packed RBC,86,73,73,16,0.8488372093023255,0.18604651162790697
2021-01-02,Platelets,37,33,33,5,0.8918918918918919,0.13513513513513514
2021-01-03,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-01-03,Fresh Frozen Plasma,23,21,21,2,0.9130434782608695,0.08695652173913043
2021-01-03,Packed RBC,81,72,72,11,0.8888888888888888,0.13580246913580246
2021-01-03,Platelets,32,29,29,4,0.90625,0.125
2021-01-04,Cryoprecipitate,16,15,15,1,0.9375,0.0625
2021-01-04,Fresh Frozen Plasma,42,36,36,7,0.8571428571428571,0.16666666666666666
2021-01-04,Packed RBC,143,127,127,21,0.8881118881118881,0.14685314685314685
2021-01-04,Platelets,101,95,95,8,0.9405940594059405,0.07920792079207921
2021-01-05,Cryoprecipitate,13,13,13,0,1.0,0.0
2021-01-05,Fresh Frozen Plasma,35,31,31,4,0.8857142857142857,0.11428571428571428
2021-01-05,Packed RBC,150,128,128,27,0.8533333333333334,0.18
2021-01-05,Platelets,46,42,42,5,0.9130434782608695,0.10869565217391304
2021-01-06,Cryoprecipitate,21,19,19,2,0.9047619047619048,0.09523809523809523
2021-01-06,Fresh Frozen Plasma,30,26,26,5,0.8666666666666667,0.16666666666666666
2021-01-06,Packed RBC,112,105,105,11,0.9375,0.09821428571428571
2021-01-06,Platelets,65,55,55,12,0.8461538461538461,0.18461538461538463
2021-01-07,Cryoprecipitate,14,12,12,2,0.8571428571428571,0.14285714285714285
2021-01-07,Fresh Frozen Plasma,30,27,27,4,0.9,0.13333333333333333
2021-01-07,Packed RBC,89,81,81,8,0.9101123595505618,0.0898876404494382
2021-01-07,Platelets,39,37,37,3,0.9487179487179487,0.07692307692307693
2021-01-08,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-01-08,Fresh Frozen Plasma,22,21,21,1,0.9545454545454546,0.045454545454545456
2021-01-08,Packed RBC,96,83,83,17,0.8645833333333334,0.17708333333333334
2021-01-08,Platelets,42,40,40,3,0.9523809523809523,0.07142857142857142
2021-01-09,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-01-09,Fresh Frozen Plasma,27,23,23,4,0.8518518518518519,0.14814814814814814
2021-01-09,Packed RBC,83,71,71,13,0.8554216867469879,0.1566265060240964
2021-01-09,Platelets,27,25,25,2,0.9259259259259259,0.07407407407407407
2021-01-10,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-01-10,Fresh Frozen Plasma,18,17,17,1,0.9444444444444444,0.05555555555555555
2021-01-10,Packed RBC,77,68,68,12,0.8831168831168831,0.15584415584415584
2021-01-10,Platelets,23,20,20,3,0.8695652173913043,0.13043478260869565
2021-01-11,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-01-11,Fresh Frozen Plasma,38,34,34,5,0.8947368421052632,0.13157894736842105
2021-01-11,Packed RBC,116,109,109,12,0.9396551724137931,0.10344827586206896
2021-01-11,Platelets,33,29,29,5,0.8787878787878788,0.15151515151515152
2021-01-12,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-01-12,Fresh Frozen Plasma,27,25,25,3,0.9259259259259259,0.1111111111111111
2021-01-12,Packed RBC,91,81,81,12,0.8901098901098901,0.13186813186813187
2021-01-12,Platelets,30,29,29,1,0.9666666666666667,0.03333333333333333
